token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
Erca,$ERCA,9bxv7vjctnek2fyaya1o9wqelrore73nr19zeczumadi,0.054127,2024-04-29_16-24-35,1080,1273,956,372000.0,898,0,1.03,-93.31,-93.31,63000.0,41000.0
Shork Tenk,TENK,bondry5ughg7dlcob4updidtsckgyrxf96vvrihksrks,0.0001019,2024-04-29_16-24-35,1560,3401,2735,755000.0,1608,41.00,-44.82,5468,5468,17000.0,77000.0
CatteCat,CAT,g9nlnhmlyf8bpqvk1fsfxoaanioyfnnbl35tqrd7wjuq,0.00006311,2024-04-29_16-24-35,1680,884,736,159000.0,569,-23.27,2.75,814,814,43000.0,63000.0
JEWTUBE,JEWTUBE,57fyydn4z4g1dp9pfjxa3pkey8tnxbuhqsj2kgqcvf6w,0.068080,2024-04-29_16-24-35,1680,349,362,33000.0,287,0.01,0.36,-40.51,-40.51,12000.0,808.0
THIEFZ,THIEFZ,hcm6h8ht4mgya6wtoaj11e1hgdyb1goi8ttxuuusybd1,0.053076,2024-04-29_16-24-35,2160,70,49,36000.0,64,0,-1.43,-11.95,-11.95,18000.0,25000.0
Sol Sacks,SACKS,pzgurmcly4jsrn36hwc7eqfbm64ngyquwqckapvht3l,0.068924,2024-04-29_16-24-35,2280,464,597,59000.0,364,0,5.87,49.16,49.16,13000.0,892.0
BOOK OF MILLIONAIRES,BOME2.0,bqfg6jvhmkqds8dqxy6rdjvdcqfghhvgdp4xkbjrf6gf,0.051273,2024-04-29_16-24-35,2340,15,5,18000.0,2,0,0,82.44,82.44,18000.0,12000.0
popoPOPOpopo,popo,i6my4szggulhraajlq7xmmbh54lmsrq5c2avguc334p,0.00007737,2024-04-29_16-24-35,2400,5434,4711,16000000.0,2369,-16.43,-45.09,8520,8520,18000.0,77000.0
MTV,MTV,8nulanpnwrocbysldxd3odlfhgw99rxab1vbaaoyfhud,0.0001175,2024-04-29_16-24-35,2520,213,746,46000.0,246,-0.07,0.86,-56.51,-56.51,21000.0,11000.0
deth,deth,6mjysnfqukt5wnkjjjvjucrak4yvdhqmr2rap3xynlcz,0.053768,2024-04-29_16-24-35,2520,587,509,125000.0,504,-0.17,1.65,-92.89,-92.89,59000.0,37000.0
book of pump.fun,BOPF,96zjvb3bkpboibjmnupasb2jb2gony6gxwfcdfivvpm7,0.054364,2024-04-29_16-24-35,2640,995,835,374000.0,764,0,-0.19,-91.71,-91.71,65000.0,43000.0
Game Of Cats,GOCA,4hvmyszyeruy39fdjaqre6qrz9muqrewf4pawjlptibt,0.0001238,2024-04-29_16-24-35,2880,554,681,111000.0,500,0,-7.72,-51.58,-51.58,20000.0,12000.0
FreeCZ,FREECZ,ckfht1jbqaas5tlgp2ygqp6v5f6czzjzqivcwarqp1tn,0.002050,2024-04-29_16-24-35,3780,5627,3805,76000000.0,2461,-2.31,-18.30,3703,3703,530000.0,20000000.0
Wrapped Commune AI,wCOMAI,3ouzvgzqpt4y8d2yrtytkgec5rgu1ufzsehax8crp5lm,0.8043,2024-04-29_16-24-35,3900,143,50,38000.0,143,0,0,2.96,2.96,15000.0,80000.0
Don't Mess With Tesla,DMWTesla,8qvbuadavgqqij6yzhfwt3g4dp4rqcvpyjxdygm4qqec,0.0003622,2024-04-29_16-24-35,4080,2506,1129,915000.0,353,-0.49,3.69,115,115,503000.0,362000.0
Fxck Raydum,$FRAY,bwiqsnfyipqduhcpvlz2qsk7bcduskifnowtxkhkm4vq,0.054031,2024-04-29_16-24-35,4260,417,253,67000.0,346,0,10.18,296,296,83000.0,18000.0
Sir Brett,$SRBRETT,3dey61xawcwdkemkrxur8zn3tda6r5bmgjremmsuzbod,0.055173,2024-04-29_16-24-35,4260,957,659,161000.0,663,-0.13,-0.31,-90.01,-90.01,70000.0,51000.0
SOL Goodman,SOLG,gb5hkbus15meayzzinbevyn6arbjb1p3fp8ztgd2emyv,0.00008547,2024-04-29_16-24-35,4320,249,398,41000.0,266,0,0,-54.63,-54.63,15000.0,855.0
Quack Capital,QUACK,fyqot5ycrxwqbrtdf27jhyhbbsovoflmxtnbela5blof,0.001029,2024-04-29_16-24-35,1440,154,237,26000.0,202,0,0,-70.46,-70.46,18000.0,10000.0
SAKAMOTO,阪本,e7vjtq3xuddq76nxpvupolgu2mbu5t9hhfewg6srgm2s,0.0001095,2024-04-29_16-24-35,1440,375,418,46000.0,368,0,1.95,-45.50,-45.50,17000.0,10000.0
MUFFY,MUFFY,gt4zrbl7n57ozjyesgy7kxkkvulq6dpvcl5adgdvdten,0.00002305,2024-04-29_16-24-35,1500,738,632,116000.0,585,-0.94,14.23,166,166,23000.0,23000.0
Murvel,MURVEL,9ykop8jnl3oytybtqccnn6nj9ma4ybp52xhacawvv2rv,0.067781,2024-04-29_16-24-35,1740,292,350,21000.0,238,0,-5.13,29.07,29.07,12000.0,778.0
Mr.RATBURN,RATBN,cetdcmstk8et9ujqr5nwraufxetceibvc2ekavmxmmgt,0.00007645,2024-04-29_16-24-35,1800,263,191,50000.0,258,0,-1.66,45.92,45.92,26000.0,76000.0
